,flat_price,rooms,area,living_area,kitchen_area,floor,finishing,deal_type,house_age,wall_material,house_series,house_floors,elevator,latitude,longitude,center_distance
1096,25.75,1.0,42.0,18.754882337030025,10.147291568535092,6.0,Требует ремонта,Свободная продажа,2017.0,Монолитный,Серия неизвестна,22.0,Неизвестно,55.77953,37.581173,3.829140608275474
1097,15.0,1.0,47.7,18.754882337030025,12.0,15.0,Не известно,Неизвестно,2022.0,Монолитный,Серия неизвестна,24.0,Неизвестно,55.729346,37.71689,6.719286343187047
1098,9.2,1.0,39.0,15.0,11.5,11.0,Не известно,Свободная продажа,2022.0,Монолитный,Серия неизвестна,25.0,есть,55.603644,37.372683,22.593855460820436
1099,35.0,4.0,112.0,64.4,13.0,16.0,Дизайнерский,Свободная продажа,2002.0,Железобетон,П-44,17.0,есть,55.851591,37.518389,12.718747257808815
1100,8.15,1.0,39.2,18.754882337030025,10.0,10.0,Евро,Свободная продажа,2017.0,Монолитный,Серия неизвестна,19.0,есть,55.62635,37.310932,23.8331150422936
1101,63.99,5.0,217.0,173.0,20.0,5.0,Частичный ремонт,Свободная продажа,1914.0,Кирпичный,Серия неизвестна,7.0,есть,55.781053,37.599902,3.422973052353392
1102,72.95,5.0,190.0,145.0,28.0,3.0,Косметический,Свободная продажа,1912.0,Кирпичный,01-пз индивидуальный проект,5.0,есть,55.763052,37.613746,1.2558248677398671
1103,13.099,1.0,41.0,18.754882337030025,8.0,13.0,Евро,Свободная продажа,2004.0,Панельный,111М,17.0,есть,55.682285,37.452507,12.964355949619959
1104,8.95,1.0,34.1,19.2,6.4,9.0,Не известно,Альтернатива,1978.0,Железобетон,1-515-9,9.0,есть,55.820637,37.814932,14.541487540351328
1105,9.5,1.0,32.8,18.8,6.6,9.0,Не известно,Альтернатива,1972.0,Блочный,II-49,9.0,есть,55.628241,37.506487,15.45327943742271
1106,33.5,3.0,72.0,46.0,6.0,16.0,Отсутствует,Свободная продажа,2022.0,Монолитный,Серия неизвестна,25.0,есть,55.69731,37.473725,10.906748251074504
1107,13.3,1.0,42.7,23.2,10.0,22.0,Евро,Свободная продажа,2022.0,Монолитный,"14/14, индивидуальный",23.0,есть,55.869021,37.544243,13.819800213855551
